MYCS,artist,song,ranking
2.376,The Weeknd,Blinding Lights,1
2.256,leann rimes,how do i live,2
2.244,Justin Bieber,Stay,3
2.224,Mariah Carey,All I Want for Christmas Is You,4
2.22,Harry Styles,As It Was,5
2.22,The Chainsmokers,Closer,6
2.22,Glass Animals,Heat Waves,7
2.172,santana featuring rob thomas,smooth,8
2.088,Ed Sheeran,Bad Habits,9
2.076,usher,you make me wanna,10
2.052,lmfao featuring lauren bennett and goonrock,party rock anthem,11
2.052,taylor swift,shake it off,12
2.04,Maroon 5,Girls Like You,13
2.028,bruno mars,just the way you are,14
2.028,the black eyed peas,i gotta feeling,15
2.016,jason mraz,im yours,16
2.016,coolio featuring lv,gangstas paradise,17
2.004,lorde,royals,18
1.992,meghan trainor,all about that bass,19
1.992,Olivia Rodrigo,Good 4 U,20
1.98,Lewis Capaldi,Someone You Loved,21
1.956,Morgan Wallen,You Proof,22
1.944,Lil Nas X,Industry Baby,23
1.944,kanye west featuring jamie foxx,gold digger,24
1.932,avicii,wake me up,25
1.92,Ariana Grande,Save Your Tears,26
1.908,Dua Lipa,Levitating,27
1.896,tag team,whoomp there it is,28
1.884,maroon 5 featuring christina aguilera,moves like jagger,29
1.884,Post Malone,Better Now,30
1.848,mary j blige,family affair,31
1.824,Billie Eilish,Bad Guy,32
1.812,the fray,how to save a life,33
1.812,Travis Scott,Sicko Mode,34
1.812,Iann Dior,Mood,35
1.7999999999999998,Zach Bryan,Something in the Orange,36
1.7999999999999998,Gabby Barrett,I Hope,37
1.788,boyz ii men,ill make love to you,38
1.788,taio cruz,dynamite,39
1.764,ti featuring rihanna,live your life,40
1.764,ti,whatever you like,41
1.752,maroon 5,one more night,42
1.752,mariah carey,fantasy,43
1.752,katy perry,roar,44
1.7400000000000002,Drake,No Guidance,45
1.74,queen,bohemian rhapsody,46
1.728,Justin Timberlake,Can't Stop the Feeling!,47
1.728,chris brown featuring juelz santana,run it,48
1.728,Young Thug,Go Crazy,49
1.716,3 doors down,kryptonite,50
1.716,Shawn Mendes,Señorita,51
1.704,ace of base,all that she wants,52
1.704,Juice Wrld,Lucid Dreams,53
1.704,imagine dragons,radioactive,54
1.6920000000000002,katy perry,hot n cold,55
1.6920000000000002,jay sean featuring lil wayne,down,56
1.692,Post Malone,Rockstar,57
1.68,Walker Hayes,Fancy Like,58
1.68,miley cyrus,wrecking ball,59
1.656,Post Malone,Circles,60
1.656,Doja Cat,Need to Know,61
1.644,blackstreet featuring dr dre,no diggity,62
1.62,milli vanilli,blame it on the rain,63
1.62,Steve Lacy,Bad Habit,64
1.62,adele,someone like you,65
1.608,celine dion,its all coming back to me now,66
1.608,taylor swift,you belong with me,67
1.608,faith hill,the way you love me,68
1.608,coldplay,viva la vida,69
1.608,sam smith,stay with me,70
1.608,Lizzo,Truth Hurts,71
1.608,onerepublic,counting stars,72
1.596,5 Seconds of Summer,Youngblood,73
1.596,pink,so what,74
1.596,real mccoy,another night,75
1.584,lmfao,sexy and i know it,76
1.572,timbaland featuring onerepublic,apologize,77
1.56,fun,some nights,78
1.56,Ed Sheeran,Shape of You,79
1.56,donna lewis,i love you always forever,80
1.56,adele,rolling in the deep,81
1.548,Imagine Dragons,Thunder,82
1.548,backstreet boys,quit playing games with my heart,83
1.536,meat loaf,id do anything for love but i wont do that,84
1.536,soulja boy tell em,crank that soulja boy,85
1.536,third eye blind,semicharmed life,86
1.5359999999999998,the black eyed peas,my humps,87
1.524,creed,with arms wide open,88
1.512,hinder,lips of an angel,89
1.512,Bad Bunny,I Like It,90
1.5,3 doors down,here without you,91
1.5,rihanna featuring calvin harris,we found love,92
1.4880000000000002,Portugal. The Man,Feel It Still,93
1.488,no mercy,where do you go,94
1.488,Cardi B,Bodak Yellow,95
1.488,usher and alicia keys,my boo,96
1.488,Daft Punk,Starboy,97
1.476,alicia keys,no one,98
1.476,Twenty One Pilots,Heathens,99
1.476,BTS,Dynamite,100
1.464,the lumineers,ho hey,101
1.452,nickelback,photograph,102
1.452,Pop Smoke,For the Night,103
1.452,lil jon  the east side boyz featuring ying yang twins,get low,104
1.452,beyonce featuring sean paul,baby boy,105
1.452,akon featuring eminem,smack that,106
1.44,fergie,big girls dont cry,107
1.428,los del r'io,macarena bayside boys mix,108
1.428,jayz and alicia keys,empire state of mind,109
1.404,toni braxton,unbreak my heart,110
1.404,imagine dragons,demons,111
1.392,Bailey Zimmerman,Rock and a Hard Place,112
1.392,Marshmello,Happier,113
1.392,janet jackson,again,114
1.392,taylor swift,love story,115
1.392,eric clapton,change the world,116
1.392,Drake,Laugh Now Cry Later,117
1.38,nelly,just a dream,118
1.38,justin timberlake featuring ti,my love,119
1.38,rihanna,only girl in the world,120
1.38,usher featuring pitbull,dj got us fallin in love,121
1.368,colbie caillat,bubbly,122
1.368,Doja Cat,You Right,123
1.356,jewel,foolish games  you were meant for me,124
1.356,drake featuring majid jordan,hold on were going home,125
1.344,owl city,fireflies,126
1.344,missy elliott,work it,127
1.344,snow patrol,chasing cars,128
1.332,eminem,lose yourself,129
1.32,katy perry,teenage dream,130
1.32,divine,lately,131
1.308,lonestar,amazed,132
1.308,DJ Snake,Let Me Love You,133
1.3079999999999998,the four seasons,december 1963 oh what a night,134
1.3079999999999998,rihanna,disturbia,135
1.296,pm dawn,id die without you,136
1.296,snoop dogg featuring pharrell,drop it like its hot,137
1.296,Halsey,Eastside,138
1.296,Tems,Wait for U,139
1.284,lifehouse,you and me,140
1.284,phillip phillips,home,141
1.2839999999999998,merril bainbridge,mouth,142
1.272,Doja Cat,Kiss Me More,143
1.272,maroon 5,she will be loved,144
1.272,miley cyrus,party in the usa,145
1.272,ludacris featuring shawnna,stand up,146
1.26,gym class heroes featuring adam levine,stereo hearts,147
1.2599999999999998,kevin rudolf featuring lil wayne,let it rock,148
1.224,Young Thug,Havana,149
1.224,snap,rhythm is a dancer,150
1.212,sheryl crow,all i wanna do,151
1.212,Doja Cat,I Like You (A Happier Song),152
1.212,kelly clarkson,breakaway,153
1.212,kings of leon,use somebody,154
1.2,psy,gangnam style,155
1.2,marc anthony,i need to know,156
1.2,brian mcknight,back at one,157
1.188,keith sweat,twisted,158
1.176,chumbawamba,tubthumping,159
1.176,Lil Yachty,Broccoli,160
1.164,somethin for the people featuring trina  tamara,my love is the shhh,161
1.14,destinys child,independent women,162
1.14,toni braxton,youre makin me high  let it flow,163
1.14,jessie j ariana grande and nicki minaj,bang bang,164
1.14,Khalid,Love Lies,165
1.128,iyaz,replay,166
1.128,maroon 5,animals,167
1.128,bon jovi,always,168
1.128,fall out boy,sugar were goin down,169
1.128,deborah cox,nobodys supposed to be here,170
1.116,tove lo,habits stay high,171
1.116,far east movement featuring the cataracs and dev,like a g6,172
1.116,ini kamoze,here comes the hotstepper,173
1.116,Imagine Dragons,Believer,174
1.116,Kim Petras,Unholy,175
1.092,Demi Lovato,Sorry Not Sorry,176
1.092,kelly clarkson,because of you,177
1.092,Lil Nas X,Panini,178
1.08,sister hazel,all for you,179
1.0799999999999998,m'ya,case of the ex,180
1.0799999999999998,chris brown featuring tpain,kiss kiss,181
1.068,janet jackson,runaway,182
1.056,youngbloodz featuring lil jon,damn,183
1.056,timbaland featuring keri hilson,the way i are,184
1.044,Logic,1-800-273-8255,185
1.044,sophie b hawkins,as i lay me down,186
1.044,sia,chandelier,187
1.032,neyo,miss independent,188
1.032,trey songz featuring nicki minaj,bottoms up,189
1.032,passenger,let her go,190
1.02,lady gaga,paparazzi,191
1.008,ginuwine,differences,192
1.008,kanye west,love lockdown,193
1.0,andy gibb,shadow dancing,194
1.0,dionne and friends dionne warwick gladys knight elton john and stevie wonder,thats what friends are for,195
1.0,Lil Nas X,Old Town Road,196
1.0,olivia newtonjohn,physical,197
1.0,barbra streisand,the way we were,198
1.0,the beatles,hey jude,199
1.0,flo rida featuring tpain,low,200
1.0,sam the sham and the pharaohs,wooly bully,201
1.0,the police,every breath you take,202
1.0,50 cent,in da club,203
1.0,gotye featuring kimbra,somebody that i used to know,204
1.0,prince,when doves cry,205
1.0,simon  garfunkel,bridge over troubled water,206
1.0,Justin Bieber,Love Yourself,207
1.0,the knack,my sharona,208
1.0,cher,believe,209
1.0,whitney houston,i will always love you,210
1.0,captain  tennille,love will keep us together,211
1.0,elton john,something about the way you look tonight  candle in the wind 1997,212
1.0,lifehouse,hanging by a moment,213
1.0,keha,tik tok,214
1.0,Morgan Wallen,Last Night,215
1.0,ace of base,the sign,216
1.0,mariah carey,we belong together,217
1.0,the black eyed peas,boom boom pow,218
1.0,next,too close,219
1.0,nickelback,how you remind me,220
1.0,bryan adams,everything i do i do it for you,221
1.0,ssgt barry sadler,ballad of the green berets,222
1.0,daniel powter,bad day,223
1.0,faith hill,breathe,224
1.0,george michael,faith,225
1.0,rod stewart,tonights the night gonna be alright,226
1.0,mark ronson featuring bruno mars,uptown funk,227
1.0,macklemore and ryan lewis featuring wanz,thrift shop,228
1.0,Drake,God's Plan,229
1.0,tony orlando and dawn,tie a yellow ribbon round the ole oak tree,230
1.0,beyonce,irreplaceable,231
1.0,wham featuring george michael,careless whisper,232
1.0,lulu,to sir with love,233
1.0,the archies,sugar sugar,234
1.0,three dog night,joy to the world,235
1.0,wings,silly love songs,236
1.0,pharrell williams,happy,237
1.0,wilson phillips,hold on,238
1.0,kim carnes,bette davis eyes,239
1.0,usher featuring lil jon and ludacris,yeah,240
1.0,roberta flack,the first time ever i saw your face,241
1.0,blondie,call me,242
1.0,the bangles,walk like an egyptian,243
1.0,chicago,look away,244
1.0,boyz ii men,end of the road,245
0.996,lee ann womack,i hope you dance,246
0.996,britney spears,womanizer,247
0.994,Brenda Lee,Rockin' Around the Christmas Tree,248
0.99,Miley Cyrus,Flowers,249
0.99,sir mixalot,baby got back,250
0.99,andy gibb,i just want to be your everything,251
0.99,rihanna featuring jayz,umbrella,252
0.99,pink floyd,another brick in the wall part ii,253
0.99,terry jacks,seasons in the sun,254
0.99,ed sheeran,thinking out loud,255
0.99,Ed Sheeran,Perfect,256
0.99,usher,burn,257
0.99,robin thicke featuring ti and pharrell williams,blurred lines,258
0.99,ashanti,foolish,259
0.99,madonna,like a virgin,260
0.99,leona lewis,bleeding love,261
0.99,donna summer,bad girls,262
0.99,lionel richie,say you say me,263
0.99,Luis Fonsi,Despacito (Remix),264
0.99,diana ross  lionel richie,endless love,265
0.99,survivor,eye of the tiger,266
0.99,jim croce,bad bad leroy brown,267
0.99,rod stewart,maggie mayreason to believe,268
0.99,alicia keys,fallin,269
0.99,inxs,need you tonight,270
0.99,lady antebellum,need you now,271
0.99,roxette,it must have been love,272
0.99,brandy and monica,the boy is mine,273
0.99,tlc,waterfalls,274
0.99,katy perry featuring juicy j,dark horse,275
0.99,bobby brown,my prerogative,276
0.99,mariah carey and boyz ii men,one sweet day,277
0.99,lady gaga,poker face,278
0.99,gwen stefani,hollaback girl,279
0.99,all4one,i swear,280
0.99,tina turner,whats love got to do with it,281
0.99,heart,alone,282
0.99,michael jackson,billie jean,283
0.99,color me badd,i wanna sex you up,284
0.99,the carpenters,they long to be close to you,285
0.99,Swae Lee,Sunflower,286
0.99,sean paul,temperature,287
0.99,the 5th dimension,aquariuslet the sunshine in,288
0.99,gilbert osullivan,alone again naturally,289
0.99,the association,cherish,290
0.99,carly rae jepsen,call me maybe,291
0.99,r kelly,ignition remix,292
0.99,paul mauriat,love is blue,293
0.99,bee gees,night fever,294
0.99,tlc,no scrubs,295
0.99,four tops,i cant help myself sugar pie honey bunch,296
0.99,Justin Bieber,Sorry,297
0.99,glen campbell,rhinestone cowboy,298
0.99,elton john  kiki dee,dont go breaking my heart,299
0.99,the box tops,the letter,300
0.984,whitney houston,my love is your love,301
0.984,Ariana Grande,Side to Side,302
0.984,Shawn Mendes,Treat You Better,303
0.98,the emotions,best of my love,304
0.98,nelly,hot in herre,305
0.98,nelly furtado featuring timbaland,promiscuous,306
0.98,the guess who,american woman,307
0.98,train,hey soul sister,308
0.98,Florida Georgia Line,Meant to Be,309
0.98,the rolling stones,i cant get no satisfaction,310
0.98,monica,angel of mine,311
0.98,klymaxx,i miss you,312
0.98,kris kross,jump,313
0.98,poison,every rose has its thorn,314
0.98,sean paul,get busy,315
0.98,joan jett and the blackhearts,i love rock n roll,316
0.98,debby boone,you light up my life,317
0.98,Bruno Mars,That's What I Like,318
0.98,elton john,philadelphia freedom,319
0.98,tlc,creep,320
0.98,lady gaga featuring colby odonis,just dance,321
0.98,chic,le freak,322
0.98,gregory abbott,shake you down,323
0.98,carole king,its too latei feel the earth move,324
0.98,kenny rogers,lady,325
0.98,roberta flack,killing me softly with his song,326
0.98,johnnie taylor,disco lady,327
0.98,ub40,cant help falling in love,328
0.98,cc music factory,gonna make you sweat everybody dance now,329
0.98,santana featuring the product gb,maria maria,330
0.98,shania twain,youre still the one,331
0.98,celine dion,because you loved me,332
0.98,the temptations,i cant get next to you,333
0.98,katy perry,firework,334
0.98,bobbie gentry,ode to billie joe,335
0.98,Roddy Ricch,The Box,336
0.98,janet,all for you,337
0.98,paul mccartney and michael jackson,say say say,338
0.98,sinead oconnor,nothing compares 2 u,339
0.98,Halsey,Without Me,340
0.98,puff daddy featuring faith evans and 112,ill be missing you,341
0.98,wiz khalifa featuring charlie puth,see you again,342
0.98,wham,wake me up before you gogo,343
0.98,fun featuring janelle mon'ae,we are young,344
0.98,george harrison,got my mind set on you,345
0.98,don mclean,american pie,346
0.98,john legend,all of me,347
0.98,olivia newtonjohn,magic,348
0.98,gwen stefani featuring akon,the sweet escape,349
0.98,SZA,Kill Bill,350
0.98,mario,let me love you,351
0.98,love unlimited orchestra,loves theme,352
0.98,the righteous brothers,youre my soul and inspiration,353
0.98,alicia keys,if i aint got you,354
0.98,Wizkid,One Dance,355
0.98,bobby goldsboro,honey,356
0.98,irene cara,flashdance what a feeling,357
0.972,enrique iglesias,hero,358
0.972,rihanna,diamonds,359
0.97,rick astley,never gonna give you up,360
0.97,redbone,come and get your love,361
0.97,maroon 5,this love,362
0.97,Rihanna,Work,363
0.97,iggy azalea featuring charli xcx,fancy,364
0.97,beyonce featuring jayz,crazy in love,365
0.97,lil wayne featuring static major,lollipop,366
0.97,rod stewart,da ya think im sexy,367
0.97,otis redding,sittin on the dock of the bay,368
0.97,kenny loggins,footloose,369
0.97,john lennon,just like starting over,370
0.97,kelly clarkson,since u been gone,371
0.97,harry nilsson,without you,372
0.97,patti labelle and michael mcdonald,on my own,373
0.97,the osmonds,one bad apple,374
0.97,savage garden,truly madly deeply,375
0.97,paula abdul,straight up,376
0.97,katy perry featuring kanye west,et,377
0.97,Taylor Swift,Anti-Hero,378
0.97,baauer,harlem shake,379
0.97,Kendrick Lamar,Humble,380
0.97,fetty wap,trap queen,381
0.97,barbra streisand,evergreen love theme from a star is born,382
0.97,Dua Lipa,Don't Start Now,383
0.97,the association,windy,384
0.97,paul mccartney and stevie wonder,ebony and ivory,385
0.97,seal,kiss from a rose,386
0.97,maroon 5 featuring wiz khalifa,payphone,387
0.97,freddy fender,before the next teardrop falls,388
0.97,nelly featuring kelly rowland,dilemma,389
0.97,we five,you were on my mind,390
0.97,Adele,Easy on Me,391
0.97,celine dion,the power of love,392
0.97,men at work,down under,393
0.97,whitney houston featuring faith evans and kelly price,heartbreak hotel,394
0.97,james blunt,youre beautiful,395
0.97,train,drops of jupiter tell me,396
0.97,the rolling stones,honky tonk women,397
0.97,the four tops,reach out ill be there,398
0.97,bj thomas,raindrops keep fallin on my head,399
0.97,michael jackson,rock with you,400
0.97,marvin gaye,lets get it on,401
0.97,bee gees,stayin alive,402
0.97,paula abdul,rush rush,403
0.97,katy perry featuring snoop dogg,california gurls,404
0.97,whitney houston,i wanna dance with somebody who loves me,405
0.97,bell biv devoe,poison,406
0.97,joe,i wanna know,407
0.97,vanessa williams,save the best for last,408
0.97,janet jackson,thats the way love goes,409
0.97,the tony rich project,nobody knows,410
0.97,foreigner,i want to know what love is,411
0.96,bee gees,how can you mend a broken heart,412
0.96,usher featuring william,omg,413
0.96,Twenty One Pilots,Stressed Out,414
0.96,jennifer lopez featuring ja rule,im real,415
0.96,timmy t,one more try,416
0.96,The Chainsmokers,Something Just Like This,417
0.96,ellie goulding,lights,418
0.96,sly  the family stone,everyday people,419
0.96,silk,freak me,420
0.96,the jackson 5,dancing machine,421
0.96,captain  tennille,do that to me one more time,422
0.96,Ed Sheeran,Shivers,423
0.96,mr mister,broken wings,424
0.96,frankie valli,my eyes adored you,425
0.96,sammy davis jr,the candy man,426
0.96,the monkees,im a believer,427
0.96,the calling,wherever you will go,428
0.96,macklemore and ryan lewis featuring ray dalton,cant hold us,429
0.96,vertical horizon,everything you want,430
0.96,pitbull featuring neyo afrojack and nayer,give me everything,431
0.96,guns n roses,sweet child o mine,432
0.96,Post Malone,Wow,433
0.96,Roddy Ricch,Rockstar,434
0.96,the j geils band,centerfold,435
0.96,madonna,vogue,436
0.96,paul mccartney  wings,my love,437
0.96,puff daddy featuring mase,cant nobody hold me down,438
0.96,tpain featuring yung joc,buy u a drank shawty snappin,439
0.96,ciara and missy elliott,1 2 step,440
0.96,janet jackson,miss you much,441
0.96,shakira featuring wyclef jean,hips dont lie,442
0.96,mariah carey,always be my baby,443
0.96,britney spears,baby one more time,444
0.96,boyz ii men,on bended knee,445
0.96,maroon 5,sugar,446
0.96,tlc,babybabybaby,447
0.96,peaches  herb,reunited,448
0.96,3 doors down,when im gone,449
0.96,chaka khan,i feel for you,450
0.96,the righteous brothers,youve lost that lovin feelin,451
0.96,the rascals,people got to be free,452
0.96,  the mysterians,96 tears,453
0.96,rick springfield,jessies girl,454
0.96,michael jackson,beat it,455
0.96,hot,angel in your arms,456
0.96,outkast featuring sleepy brown,the way you move,457
0.96,edwin starr,war,458
0.96,wild cherry,play that funky music,459
0.96,mariah carey,hero,460
0.96,exile,kiss you all over,461
0.96,phil collins,against all odds take a look at me now,462
0.96,starship,nothings gonna stop us now,463
0.95,bee gees,how deep is your love,464
0.95,grand funk railroad,the locomotion,465
0.95,r kelly,i believe i can fly,466
0.95,Jack Harlow,First Class,467
0.95,Lil Uzi Vert,Bad and Boujee,468
0.95,the monkees,last train to clarksville,469
0.95,janet,together again,470
0.95,whitney houston,how will i know,471
0.95,the doors,light my fire,472
0.95,robbie nevil,cest la vie,473
0.95,kool  the gang,celebration,474
0.95,jason derulo featuring 2 chainz,talk dirty,475
0.95,the manhattans,kiss and say goodbye,476
0.95,whitney houston,so emotional,477
0.95,petula clark,downtown,478
0.95,emf,unbelievable,479
0.95,the human league,dont you want me,480
0.95,bonnie tyler,total eclipse of the heart,481
0.95,flo rida,right round,482
0.95,carrie underwood,before he cheats,483
0.95,destinys child,say my name,484
0.95,Harry Styles,Adore You,485
0.95,joe tex,i gotcha,486
0.95,queen,crazy little thing called love,487
0.95,cream,sunshine of your love,488
0.95,kris kristofferson,why me,489
0.95,walk the moon,shut up and dance,490
0.95,matchbox twenty,unwell,491
0.95,lisa loeb and nine stories,stay i missed you,492
0.95,tommy roe,dizzy,493
0.95,van halen,jump,494
0.95,sixpence none the richer,kiss me,495
0.95,natasha bedingfield,unwritten,496
0.95,Ty Dolla Sign,Psycho,497
0.95,Selena Gomez,Calm Down,498
0.95,gloria gaynor,i will survive,499
0.95,kenny nolan,i like dreamin,500
0.95,matchbox twenty,if youre gone,501
0.95,the wanted,glad you came,502
0.95,hoobastank,the reason,503
0.95,swv,weak,504
0.95,diana ross,aint no mountain high enough,505
0.95,tracy chapman,give me one reason,506
0.95,daryl hall  john oates,out of touch,507
0.95,paula abdul,cold hearted,508
0.95,justin timberlake,mirrors,509
0.95,bruno mars,grenade,510
0.95,Desiigner,Panda,511
0.95,vanessa carlton,a thousand miles,512
0.95,eric clapton,tears in heaven,513
0.95,mariah carey,vision of love,514
0.95,jordin sparks and chris brown,no air,515
0.95,earth wind  fire,shining star,516
0.95,paul revere  the raiders,indian reservation the lament of the cherokee reservation indian,517
0.95,bob featuring hayley williams,airplanes,518
0.948,finger eleven,paralyzer,519
0.948,Shaed,Trampoline,520
0.948,david guetta featuring usher,without you,521
0.948,az yet,last night,522
0.948,baby bash featuring frankie j,suga suga,523
0.948,groove theory,tell me,524
0.9479999999999998,Dan + Shay,Tequila,525
0.94,chingy,right thurr,526
0.94,en vogue,dont let go love,527
0.94,david bowie,fame,528
0.94,bette midler,wind beneath my wings,529
0.94,Anderson .Paak,Leave the Door Open,530
0.94,eminem featuring rihanna,love the way you lie,531
0.94,savage garden,i knew i loved you,532
0.94,the miracles,love machine,533
0.94,donny osmond,go away little girl,534
0.94,toni braxton,breathe again,535
0.94,the jackson 5,ill be there,536
0.94,lionel richie,hello,537
0.94,the beatles,help,538
0.94,eddie murphy,party all the time,539
0.94,eve featuring gwen stefani,let me blow ya mind,540
0.94,linkin park,in the end,541
0.94,bill withers,lean on me,542
0.94,kci  jojo,all my life,543
0.94,sly  the family stone,hot fun in the summertime,544
0.94,thelma houston,dont leave me this way,545
0.94,daryl hall  john oates,maneater,546
0.94,the mamas  the papas,monday monday,547
0.94,Ariana Grande,Die for You,548
0.94,Ariana Grande,7 Rings,549
0.94,tears for fears,everybody wants to rule the world,550
0.94,extreme,more than words,551
0.94,mfsb,tsop the sound of philadelphia,552
0.94,player,baby come back,553
0.94,pink featuring nate ruess,just give me a reason,554
0.94,taylor swift,blank space,555
0.94,donna summer,hot stuff,556
0.94,phil collins,another day in paradise,557
0.94,plain white ts,hey there delilah,558
0.94,frank  nancy sinatra,somethin stupid,559
0.94,magic,rude,560
0.94,en vogue,my lovin youre never gonna get it,561
0.94,shai,if i ever fall in love,562
0.94,herb alpert,this guys in love with you,563
0.94,belinda carlisle,heaven is a place on earth,564
0.94,bone thugsnharmony,tha crossroads,565
0.94,Latto,Big Energy,566
0.94,green day,boulevard of broken dreams,567
0.94,Drake,Life Is Good,568
0.94,mario winans featuring enya and p diddy,i dont wanna know,569
0.94,john cougar,jack  diane,570
0.94,kelly clarkson,stronger what doesnt kill you,571
0.94,gnarls barkley,crazy,572
0.94,elton john,crocodile rock,573
0.94,sara bareilles,love song,574
0.94,cee lo green,fuck you,575
0.94,whitesnake,here i go again,576
0.94,hall  oates,kiss on my list,577
0.94,christina aguilera,genie in a bottle,578
0.94,Adele,Hello,579
0.94,paul mccartney,coming up,580
0.936,Justin Bieber,Essence,581
0.936,xscape,just kickin it,582
0.93,Justin Bieber,Ghost,583
0.93,neil sedaka,laughter in the rain,584
0.93,Maroon 5,Memories,585
0.93,hugo montenegro,the good the bad and the ugly,586
0.93,eddie rabbitt,i love a rainy night,587
0.93,en vogue,hold on,588
0.93,lipps inc,funkytown,589
0.93,usher featuring young jeezy,love in this club,590
0.93,andy gibb,love is thicker than water,591
0.93,outkast,hey ya,592
0.93,elton john,candle in the wind 1997,593
0.93,50 cent featuring olivia,candy shop,594
0.93,Sam Hunt,Body Like a Back Road,595
0.93,dire straits,money for nothing,596
0.93,red hot chili peppers,under the bridge,597
0.93,beyonce,single ladies put a ring on it,598
0.93,rare earth,get ready,599
0.93,yes,owner of a lonely heart,600
0.93,the turtles,happy together,601
0.93,hermans hermits,cant you hear my heart beat,602
0.93,tom jones,ill never fall in love again,603
0.93,mariah carey,dreamlover,604
0.93,Grey,The Middle,605
0.93,aaliyah,miss you,606
0.93,Luke Combs,Fast Car,607
0.93,akon featuring snoop dogg,i wanna love you,608
0.93,billy preston,will it go round in circles,609
0.93,mark morrison,return of the mack,610
0.93,ray stevens,the streak,611
0.93,paul simon,50 ways to leave your lover,612
0.93,chamillionaire featuring krayzie bone,ridin,613
0.93,rita coolidge,your love has lifted me higher and higher,614
0.93,dido,thank you,615
0.93,tiffany,couldve been,616
0.93,village people,ymca,617
0.93,the supremes,you cant hurry love,618
0.93,silento,watch me,619
0.93,Daya,Don't Let Me Down,620
0.93,survivor,burning heart,621
0.93,Olivia Rodrigo,Drivers License,622
0.93,sugar ray,every morning,623
0.93,john cougar,hurts so good,624
0.93,madonna,take a bow,625
0.93,john denver,take me home country roads,626
0.93,bruno mars,when i was your man,627
0.93,bryan adams rod stewart and sting,all for love,628
0.93,milli vanilli,girl you know its true,629
0.93,hifive,i like the way the kissing game,630
0.93,nicki minaj,super bass,631
0.93,patti austin and james ingram,baby come to me,632
0.93,fat joe featuring ashanti,whats luv,633
0.93,lady gaga,bad romance,634
0.93,Khalid,Talk,635
0.93,bruce hornsby and the range,the way it is,636
0.93,mac davis,baby dont get hooked on me,637
0.924,the b52s,love shack,638
0.92,Kodak Black,Super Gremlin,639
0.92,elton john,bennie and the jets,640
0.92,breathe,hands to heaven,641
0.92,the temptations,just my imagination running away with me,642
0.92,Maren Morris,The Bones,643
0.92,dolly parton,9 to 5,644
0.92,chris brown,with you,645
0.92,monica,dont take it personal just one of dem days,646
0.92,the young rascals,groovin,647
0.92,lenny kravitz,again,648
0.92,wreckxneffect,rump shaker,649
0.92,Lil Nas X,Montero (Call Me by Your Name),650
0.92,melanie,brand new key,651
0.92,the foundations,build me up buttercup,652
0.92,justin timberlake featuring timbaland,sexyback,653
0.92,surface,the first time,654
0.92,madonna,crazy for you,655
0.92,simon  garfunkel,mrs robinson,656
0.92,ariana grande featuring iggy azalea,problem,657
0.92,florida georgia line featuring nelly,cruise,658
0.92,billy idol,cradle of love,659
0.92,the beatles,let it be,660
0.92,steve miller band,abracadabra,661
0.92,SZA,Snooze,662
0.92,alan oday,undercover angel,663
0.92,nicki minaj,starships,664
0.92,the pussycat dolls featuring busta rhymes,dont cha,665
0.92,michael sembello,maniac,666
0.92,johnny rivers,poor side of town,667
0.92,ciara featuring petey pablo,goodies,668
0.92,elvis presley,crying in the chapel,669
0.92,carly simon,youre so vain,670
0.92,a taste of honey,boogie oogie oogie,671
0.92,Drake,In My Feelings,672
0.92,usher,nice  slow,673
0.92,ray parker jr,ghostbusters,674
0.92,kanye west,heartless,675
0.92,the weeknd,earned it,676
0.92,will to power,baby i love your wayfreebird medley,677
0.92,bob seger,shakedown,678
0.92,matchbox twenty,bent,679
0.92,anita ward,ring my bell,680
0.92,usher,u got it bad,681
0.92,billy joel,its still rock and roll to me,682
0.92,nelly furtado,say it right,683
0.92,eagles,one of these nights,684
0.92,kid rock featuring sheryl crow,picture,685
0.92,gary wright,love is alive,686
0.92,color me badd,all 4 love,687
0.92,mr mister,kyrie,688
0.912,Sam Smith,Too Good at Goodbyes,689
0.912,boyz ii men,4 seasons of loneliness,690
0.91,Jonas Brothers,Sucker,691
0.91,aha,take on me,692
0.91,paula cole,i dont want to wait,693
0.91,spice girls,wannabe,694
0.91,puddle of mudd,blurry,695
0.91,the mamas  the papas,california dreamin,696
0.91,frankie valli,cant take my eyes off you,697
0.91,montell jordan,this is how we do it,698
0.91,chris brown,forever,699
0.91,wayne newton,daddy dont you walk so fast,700
0.91,mac davis,one hell of a woman,701
0.91,chicago,hard to say im sorry,702
0.91,robert john,sad eyes,703
0.91,jon secada,just another day,704
0.91,mary macgregor,torn between two lovers,705
0.91,kelly clarkson,behind these hazel eyes,706
0.91,Quavo,Congratulations,707
0.91,Bebe Rexha,I'm Good (Blue),708
0.91,freda payne,band of gold,709
0.91,john denver,thank god im a country boy,710
0.91,terror squad,lean back,711
0.91,walter murphy  the big apple band,a fifth of beethoven,712
0.91,anita baker,giving you the best that i got,713
0.91,taio cruz featuring ludacris,break your heart,714
0.91,the temptations,my girl,715
0.91,archie bell  the drells,tighten up,716
0.91,beyonce featuring slim thug,check on it,717
0.91,ricky martin,livin la vida loca,718
0.91,evanescence featuring paul mccoy,bring me to life,719
0.91,commodores,three times a lady,720
0.91,steve winwood,roll with it,721
0.91,eurythmics,sweet dreams are made of this,722
0.91,snow,informer,723
0.91,amy grant,baby baby,724
0.91,fergie featuring ludacris,glamorous,725
